id_aluno;ano;nome;genero;idade;ano_nascimento;ano_ingresso;anos_na_pm;instituicao;escola;turma;fase;fase_ideal;defasagem;defasado;nivel_defasagem;inde;pedra;IAA;IEG;IPS;IPP;IDA;IPV;IAN;nota_mat;nota_por;nota_ing;qtd_avaliadores;rank_geral;rank_fase;rank_turma;atingiu_pv;indicado_bolsa;defasagem_original;ano_ingresso_declarado;ingresso_inconsistente;n_anos_observados
RA-1002;2024;Aluno-1002;F;10,0;2014,0;2023;1;Pública;EM Cecilia Cristina de Oliveira Rodrigues;ALFA N - G2/G3;0,0;1,0;-1,0;True;Moderada (1);7,967866666700001;Ametista;9,002;7,833333333500001;7,51;7,5;9,25;8,25;5,0;10,0;8,5;;2,0;;;;;;-1;2023;False;2
RA-1003;2023;Aluno-1003;M;8,0;2015,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;7,6522;Ametista;9,0;8,5;7,52;7,5;4,0;8,75;10,0;8,0;0,0;;2,0;;;;;;0;2023;False;2
RA-1003;2024;Aluno-1003;M;9,0;2015,0;2023;1;Pública;EM Maria Ignez Concelles Irma Ines;ALFA J - G2/G3;0,0;1,0;-1,0;True;Moderada (1);7,627588888900001;Ametista;8,002;8,6944444445;7,51;6,875;8,25;7,5;5,0;10,0;6,5;;2,0;;;;;;-1;2023;False;2
RA-1004;2023;Aluno-1004;F;8,0;2014,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;8,3137;Topázio;9,0;9,6;7,52;6,875;7,9;7,42;10,0;6,5;9,2;;2,0;;;;;;0;2023;False;2
RA-1004;2024;Aluno-1004;F;9,0;2014,0;2023;1;Pública;EM Pedro Antonio de Almeida;ALFA J - G2/G3;0,0;1,0;-1,0;True;Moderada (1);7,801200000000001;Ametista;9,502;9,25;7,51;7,5;7,5;7,5;5,0;7,5;7,5;;2,0;;;;;;-1;2023;False;2
RA-1005;2023;Aluno-1005;M;8,0;2015,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;8,4252;Topázio;9,5;7,9;7,52;7,5;8,8;8,165;10,0;8,4;9,2;;2,0;;;;;;0;2023;False;1
RA-1006;2023;Aluno-1006;F;8,0;2015,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;8,5922;Topázio;9,0;9,3;7,52;7,5;8,7;8,0;10,0;8,7;8,6;;2,0;;;;;;0;2023;False;2
RA-1006;2024;Aluno-1006;F;9,0;2015,0;2023;1;Pública;EM Pedro Antonio de Almeida;ALFA J - G2/G3;0,0;1,0;-1,0;True;Moderada (1);7,040088888900001;Ametista;8,502;8,4444444445;7,51;7,5;5,0;7,5;5,0;5,0;5,0;;2,0;;;;;;-1;2023;False;2
RA-1007;2023;Aluno-1007;M;8,0;2015,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;8,0782;Topázio;9,0;7,4;7,52;7,5;8,3;7,68;10,0;8,1;8,5;;2,0;;;;;;0;2023;False;1
RA-1008;2023;Aluno-1008;M;8,0;2015,0;2023;0;Pública;;ALFA V - G0/G1;0,0;0,0;0,0;False;Adequado;8,13595;Topázio;9,0;8,6;7,52;5,9375;8,4;7,5;10,0;7,5;9,2;;2,0;;;;;;0;2023;False;2
RA-1008;2024;Aluno-1008;M;9,0;2015,0;2023;1;Pública;EE Joaquim Mendes Feliz;ALFA I - G2/G3;0,0;1,0;-1,0;True;Moderada (1);6,8667414438000005;Ágata;7,002;6,483957219;7,51;7,1875;7,0;7,5;5,0;6,5;7,5;;2,0;;;;;;-1;2023;False;2
RA-1009;2023;Aluno-1009;M;8,0;2015,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;7,245;Ametista;0,0;9,0;3,77;7,5;8,8;7,84;10,0;8,3;9,2;;2,0;;;;;;0;2023;False;2
RA-1009;2024;Aluno-1009;M;9,0;2015,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;ALFA E - G2/G3;0,0;1,0;-1,0;True;Moderada (1);6,395389393900001;Ágata;8,002;6,8863636365000005;2,51;6,5625;7,5;6,553333333;5,0;10,0;5,0;;3,0;;;;;;-1;2023;False;2
RA-101;2022;Aluno-101;F;15,0;2007,0;2021;1;Pública;;A;4,0;5,0;-1,0;True;Moderada (1);7,305;Ametista;7,9;8,3;7,5;;7,6;6,833;5,0;7,2;6,5;9,2;4,0;387;31;8;False;True;-1;2021;False;1
RA-1010;2023;Aluno-1010;M;8,0;2015,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;8,70645;Topázio;9,5;10,0;3,77;7,8125;9,4;8,59;10,0;9,0;9,8;;2,0;;;;;;0;2023;False;1
RA-1011;2023;Aluno-1011;M;7,0;2015,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;7,33095;Ametista;9,5;8,6;3,77;7,1875;5,2;7,675;10,0;5,5;4,8;;2,0;;;;;;0;2023;False;1
RA-1012;2023;Aluno-1012;F;8,0;2015,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;7,96495;Ametista;10,0;9,9;3,77;7,1875;6,6;7,845;10,0;7,0;6,2;;2,0;;;;;;0;2023;False;2
RA-1012;2024;Aluno-1012;F;9,0;2015,0;2023;1;Pública;EE Joaquim Mendes Feliz;ALFA C - G0/G1;0,0;1,0;-1,0;True;Moderada (1);8,057128571400002;Topázio;9,502;9,523809524;2,51;8,125;9,75;8,443333333;5,0;10,0;9,5;;3,0;;;;;;-1;2023;False;2
RA-1013;2023;Aluno-1013;M;7,0;2015,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;7,6237;Ametista;9,0;9,6;4,39;5,625;8,3;5,76;10,0;7,0;9,5;;2,0;;;;;;0;2023;False;2
RA-1013;2024;Aluno-1013;M;8,0;2015,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;ALFA E - G2/G3;0,0;1,0;-1,0;True;Moderada (1);5,7839559808;Quartzo;9,002;5,693779904;2,51;5,0;7,75;4,72;5,0;8,0;7,5;;3,0;;;;;;-1;2023;False;2
RA-1014;2023;Aluno-1014;F;7,0;2016,0;2023;0;Pública;;ALFA Y - G0/G1;0,0;0,0;0,0;False;Adequado;8,2582;Topázio;9,0;9,7;3,77;7,5;8,2;8,255;10,0;7,7;8,7;;2,0;;;;;;0;2023;False;2
RA-1014;2024;Aluno-1014;F;8,0;2016,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;ALFA E - G2/G3;0,0;1,0;-1,0;True;Moderada (1);6,315972727300001;Ágata;8,502;7,8863636365;2,51;6,875;5,25;7,0;5,0;6,5;4,0;;3,0;;;;;;-1;2023;False;2
RA-1015;2023;Aluno-1015;F;10,0;2013,0;2023;0;Pública;;1A;1,0;2,0;-1,0;True;Moderada (1);7,538908333;Ametista;10,0;9,3;6,27;7,34375;6,3;7,786666667;5,0;5,0;7,6;;3,0;;;;;;-1;2023;False;2
RA-1015;2024;Aluno-1015;F;11,0;2013,0;2023;1;Pública;EE Alexandre Rodrigues Nogueira;2B;2,0;2,0;0,0;False;Adequado;6,643252381000002;Ágata;7,918;7,8214285715;7,51;6,041666667;4,0;5,66;10,0;2,0;6,0;;3,0;;;;;;0;2023;False;2
RA-1016;2023;Aluno-1016;F;10,0;2013,0;2023;0;Pública;;1A;1,0;2,0;-1,0;True;Moderada (1);7,762575;Ametista;10,0;9,5;7,52;7,34375;6,7;7,73;5,0;5,8;7,5;;3,0;;;;;;-1;2023;False;1
RA-1017;2023;Aluno-1017;M;11,0;2012,0;2023;0;Pública;;1A;1,0;2,0;-1,0;True;Moderada (1);6,505333333;Ágata;0,0;8,0;5,02;7,5;7,7;8,116666667;5,0;7,0;8,3;;3,0;;;;;;-1;2023;False;2
RA-1017;2024;Aluno-1017;M;12,0;2012,0;2023;1;Pública;EE João Ortiz Rodrigues;2C;2,0;2,0;0,0;False;Adequado;7,345521428500001;Ametista;9,502;7,8095238095;6,26;7,1875;5,0;7,443333333;10,0;2,5;7,5;;3,0;;;;;;0;2023;False;2
RA-1018;2023;Aluno-1018;M;9,0;2013,0;2023;0;Pública;;1A;1,0;1,0;0,0;False;Adequado;6,824;Ágata;0,0;8,5;5,02;7,5;6,3;8,06;10,0;5,8;6,8;;3,0;;;;;;0;2023;False;2
RA-1018;2024;Aluno-1018;M;10,0;2013,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1A;1,0;2,0;-1,0;True;Moderada (1);7,7054045454;Ametista;8,502;7,727272727;6,26;8,4375;8,25;8,45;5,0;8,5;8,0;;3,0;;;;;;-1;2023;False;2
RA-1019;2023;Aluno-1019;F;8,0;2015,0;2023;0;Pública;;1A;1,0;0,0;1,0;False;Adiantado;7,177033333;Ametista;7,5;9,1;5,02;6,875;4,3;7,836666667;10,0;0,5;8,0;;3,0;;;;;;1;2023;False;2
RA-1019;2024;Aluno-1019;F;9,0;2015,0;2023;1;Pública;EM Etelvina Delfim Simões;1A;1,0;1,0;0,0;False;Adequado;8,692255194900001;Topázio;9,502;9,3073593075;6,26;7,8125;8,75;8,616666667;10,0;9,5;8,0;;3,0;;;;;;0;2023;False;2
RA-102;2022;Aluno-102;M;14,0;2008,0;2019;3;Pública;;A;4,0;4,0;0,0;False;Adequado;6,922;Ágata;6,7;7,7;6,9;;5,7;6,0;10,0;4,7;6,8;5,5;4,0;519;43;9;False;False;0;2019;False;1
RA-1020;2023;Aluno-1020;F;9,0;2014,0;2023;0;Pública;;1A;1,0;1,0;0,0;False;Adequado;7,612283333;Ametista;10,0;9,1;2,52;7,1875;6,1;8,056666667;10,0;4,3;7,8;;3,0;;;;;;0;2023;False;2
RA-1020;2024;Aluno-1020;F;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1A;1,0;1,0;0,0;False;Adequado;8,9544954545;Topázio;9,002;9,7727272725;6,88;8,4375;9,0;8,84;10,0;10,0;8,0;;3,0;;;;;;0;2023;False;2
RA-1021;2023;Aluno-1021;M;9,0;2014,0;2023;0;Pública;;1A;1,0;1,0;0,0;False;Adequado;6,964616667;Ágata;8,0;9,2;3,77;7,1875;3,3;7,893333333;10,0;2,5;4,0;;3,0;;;;;;0;2023;False;2
RA-1021;2024;Aluno-1021;M;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1A;1,0;2,0;-1,0;True;Moderada (1);8,0985863636;Topázio;9,502;9,318181818;7,51;8,4375;8,0;7,95;5,0;9,0;7,0;;3,0;;;;;;-1;2023;False;2
RA-1022;2023;Aluno-1022;M;9,0;2014,0;2023;0;Pública;;1A;1,0;1,0;0,0;False;Adequado;7,164616667;Ametista;8,5;8,5;3,77;7,1875;4,7;7,893333333;10,0;4,7;4,7;;3,0;;;;;;0;2023;False;2
RA-1022;2024;Aluno-1022;M;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1A;1,0;2,0;-1,0;True;Moderada (1);7,613169697000002;Ametista;9,502;9,318181818;6,26;7,5;6,5;8,116666667;5,0;5,5;7,5;;3,0;;;;;;-1;2023;False;2
RA-1023;2023;Aluno-1023;F;9,0;2014,0;2023;0;Pública;;1A;1,0;1,0;0,0;False;Adequado;9,1342;Topázio;10,0;10,0;6,27;8,75;9,1;9,06;10,0;8,5;9,7;;3,0;;;;;;0;2023;False;2
RA-1023;2024;Aluno-1023;F;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;2B;2,0;2,0;0,0;False;Adequado;9,4985809523;Topázio;9,502;9,511904762;9,375;8,958333333;9,5;9,563333333;10,0;9,0;10,0;;3,0;;;;;;0;2023;False;2
RA-1024;2023;Aluno-1024;F;10,0;2013,0;2023;0;Pública;;1B;1,0;2,0;-1,0;True;Moderada (1);7,788875;Ametista;0,0;10,0;6,27;9,21875;9,8;8,95;5,0;10,0;9,5;;3,0;;;;;;-1;2023;False;2
RA-1024;2024;Aluno-1024;F;11,0;2013,0;2023;1;Pública;Escola João Paulo II;1B;1,0;2,0;-1,0;True;Moderada (1);8,6516166666;Topázio;8,002;10,0;7,51;8,4375;10,0;8,783333333;5,0;10,0;10,0;;3,0;;;;;;-1;2023;False;2
RA-1025;2023;Aluno-1025;M;9,0;2013,0;2023;0;Pública;;1B;1,0;1,0;0,0;False;Adequado;8,215158333;Topázio;8,5;8,9;7,52;7,65625;7,5;7,836666667;10,0;7,5;7,5;;3,0;;;;;;0;2023;False;2
RA-1025;2024;Aluno-1025;M;10,0;2013,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1A;1,0;2,0;-1,0;True;Moderada (1);7,897071212;Ametista;9,002;7,727272727;7,51;8,4375;9,0;7,783333333;5,0;10,0;8,0;;3,0;;;;;;-1;2023;False;2
RA-1026;2023;Aluno-1026;F;14,0;2009,0;2023;0;Pública;;1B;1,0;4,0;-3,0;True;Severa (3+);6,494825;Ágata;8,5;9,8;7,52;6,40625;3,2;7,06;2,5;2,3;4,0;;3,0;;;;;;-3;2023;False;1
RA-1027;2023;Aluno-1027;F;10,0;2013,0;2023;0;Pública;;1B;1,0;2,0;-1,0;True;Moderada (1);7,748866667;Ametista;9,5;9,7;7,52;7,5;6,0;8,333333333;5,0;4,2;7,7;;3,0;;;;;;-1;2023;False;2
RA-1027;2024;Aluno-1027;F;11,0;2013,0;2023;1;Pública;EE Bairro Boa Vista;2B;2,0;2,0;0,0;False;Adequado;8,220866666700001;Topázio;9,502;10,0;7,51;7,916666667;5,25;8,39;10,0;6,0;4,5;;3,0;;;;;;0;2023;False;2
RA-1028;2023;Aluno-1028;M;11,0;2012,0;2023;0;Pública;;1B;1,0;2,0;-1,0;True;Moderada (1);6,415708333;Ágata;0,0;9,2;7,52;7,34375;5,0;7,946666667;5,0;5,0;5,0;;3,0;;;;;;-1;2023;False;2
RA-1028;2024;Aluno-1028;M;12,0;2012,0;2023;1;Pública;EE Olivia de Faria Nogueira;1B;1,0;3,0;-2,0;True;Alta (2);7,1404338602;Ametista;8,002;7,055335968;5,63;6,875;7,5;8,393333333;5,0;6,0;9,0;;3,0;;;;;;-2;2023;False;2
RA-1029;2023;Aluno-1029;F;9,0;2014,0;2023;0;Pública;;1C;1,0;1,0;0,0;False;Adequado;7,058533333;Ametista;10,0;6,3;3,77;7,5;5,4;8,006666667;10,0;3,5;7,2;;3,0;;;;;;0;2023;False;2
RA-1029;2024;Aluno-1029;F;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1C;1,0;2,0;-1,0;True;Moderada (1);7,797790909100001;Ametista;9,002;8,7954545455;6,885;7,5;8,75;7,25;5,0;8,0;9,5;;2,0;;;;;;-1;2023;False;2
RA-103;2022;Aluno-103;F;13,0;2009,0;2020;2;Privada - Parceira;;A;4,0;3,0;1,0;False;Adiantado;8,107;Topázio;7,9;8,7;7,5;;7,3;7,708;10,0;7,3;7,3;7,3;4,0;114;11;4;False;False;1;2020;True;3
RA-103;2023;Aluno-103;F;14,0;2009,0;2020;3;Privada - Apadrinhamento;;5A;5,0;4,0;1,0;False;Adiantado;8,0239;Topázio;8,3;9,2;5,0;8,125;7,1;8,09;10,0;7,3;6,3;7,7;4,0;;;;;;1;2020;True;3
RA-103;2024;Aluno-103;F;15,0;2009,0;2020;4;Privada - Apadrinhamento;Colégio Arco Íris Evolução;5A;5,0;5,0;0,0;False;Adequado;8,775268254;Topázio;8,334;9,603174603333336;6,26;7,875;9,166666666666666;8,872;10,0;9,0;9,0;9,5;5,0;;;;;;0;2021;True;3
RA-1030;2023;Aluno-1030;M;11,0;2012,0;2023;0;Pública;;1C;1,0;2,0;-1,0;True;Moderada (1);7,4027;Ametista;8,5;9,7;3,77;6,875;6,9;8,39;5,0;6,2;7,5;;3,0;;;;;;-1;2023;False;2
RA-1030;2024;Aluno-1030;M;12,0;2012,0;2023;1;Pública;EE Paschoal Carlos Magno;2D;2,0;2,0;0,0;False;Adequado;7,740191604;Ametista;7,418;8,28320802;4,385;7,8125;8,0;7,61;10,0;10,0;6,0;;3,0;;;;;;0;2023;False;2
RA-1031;2023;Aluno-1031;M;10,0;2013,0;2023;0;Pública;;1D;1,0;2,0;-1,0;True;Moderada (1);7,0602;Ametista;8,0;8,8;7,52;6,666666667;5,9;7,006666667;5,0;4,8;7,0;;3,0;;;;;;-1;2023;False;2
RA-1031;2024;Aluno-1031;M;11,0;2013,0;2023;1;Pública;EE Joaquim Mendes Feliz;1C;1,0;2,0;-1,0;True;Moderada (1);6,8757227273;Ágata;9,502;8,6363636365;7,51;5,3125;6,25;5,83;5,0;5,5;7,0;;2,0;;;;;;-1;2023;False;2
RA-1032;2023;Aluno-1032;M;10,0;2013,0;2023;0;Pública;;1D;1,0;2,0;-1,0;True;Moderada (1);7,434033333;Ametista;8,5;9,5;7,52;7,291666667;6,0;7,563333333;5,0;5,7;6,2;;3,0;;;;;;-1;2023;False;2
RA-1032;2024;Aluno-1032;M;11,0;2013,0;2023;1;Pública;EE Joaquim Mendes Feliz;1C;1,0;2,0;-1,0;True;Moderada (1);8,01645;Topázio;8,502;9,75;7,51;7,8125;8,0;7,92;5,0;9,0;7,0;;2,0;;;;;;-1;2023;False;2
RA-1033;2023;Aluno-1033;F;11,0;2012,0;2023;0;Pública;;1D;1,0;2,0;-1,0;True;Moderada (1);8,126033333;Topázio;9,0;8,9;7,52;8,125;7,9;9,006666667;5,0;7,0;8,8;;3,0;;;;;;-1;2023;False;1
RA-1034;2023;Aluno-1034;M;10,0;2013,0;2023;0;Pública;;1D;1,0;2,0;-1,0;True;Moderada (1);7,9642;Ametista;7,5;9,0;7,52;8,333333333;8,3;8,393333333;5,0;7,8;8,7;;3,0;;;;;;-1;2023;False;2
RA-1034;2024;Aluno-1034;M;11,0;2013,0;2023;1;Pública;EE Alexandre Rodrigues Nogueira;2B;2,0;2,0;0,0;False;Adequado;8,0333666666;Topázio;7,502;8,0833333335;7,51;7,708333333;7,5;8,223333333;10,0;7,5;7,5;;3,0;;;;;;0;2023;False;2
RA-1035;2023;Aluno-1035;M;9,0;2014,0;2023;0;Pública;;1D;1,0;1,0;0,0;False;Adequado;6,888833333;Ágata;0,0;8,3;7,52;7,708333333;5,8;7,78;10,0;4,0;7,5;;3,0;;;;;;0;2023;False;2
RA-1035;2024;Aluno-1035;M;10,0;2014,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;1C;1,0;2,0;-1,0;True;Moderada (1);7,833495454500001;Ametista;9,502;9,0227272725;7,51;8,4375;7,0;7,92;5,0;6,5;7,5;;2,0;;;;;;-1;2023;False;2
RA-1036;2023;Aluno-1036;F;11,0;2012,0;2023;0;Pública;;1F;1,0;2,0;-1,0;True;Moderada (1);6,970583333;Ágata;0,0;9,6;3,77;9,0625;8,0;8,336666667;5,0;9,0;7,0;;3,0;;;;;;-1;2023;False;2
RA-1036;2024;Aluno-1036;F;12,0;2012,0;2023;1;Pública;EE João Ortiz Rodrigues;2H;2,0;2,0;0,0;False;Adequado;8,2841303831;Topázio;10,002;9,0890269155;7,51;7,65625;7,0;7,7475;10,0;7,0;7,0;;4,0;;;;;;0;2023;False;2
RA-1037;2023;Aluno-1037;M;10,0;2012,0;2023;0;Pública;;1F;1,0;2,0;-1,0;True;Moderada (1);7,655575;Ametista;9,0;8,4;7,52;8,59375;6,7;8,17;5,0;5,0;8,3;;3,0;;;;;;-1;2023;False;1
RA-1038;2023;Aluno-1038;F;10,0;2013,0;2023;0;Privada;;1F;1,0;2,0;-1,0;True;Moderada (1);7,736825;Ametista;8,0;9,3;7,52;8,90625;6,5;8,17;5,0;7,5;5,5;;3,0;;;;;;-1;2023;False;2
RA-1038;2024;Aluno-1038;F;11,0;2013,0;2023;1;Pública;EE Dom Pedro Villas Boas de Souza;2I;2,0;2,0;0,0;False;Adequado;7,9646385965;Ametista;8,002;7,5438596495;7,51;7,5;8,5;7,273333333;10,0;10,0;7,0;;3,0;;;;;;0;2023;False;2
RA-1039;2023;Aluno-1039;M;12,0;2011,0;2023;0;Pública;;1F;1,0;3,0;-2,0;True;Alta (2);7,686033333;Ametista;8,0;9,9;7,52;8,125;6,2;8,056666667;5,0;6,0;6,3;;3,0;;;;;;-2;2023;False;2
RA-1039;2024;Aluno-1039;M;13,0;2011,0;2023;1;Pública;EE Joaquim Mendes Feliz;2I;2,0;3,0;-1,0;True;Moderada (1);7,549644444400001;Ametista;8,002;9,722222222;7,51;7,5;7,25;6,77;5,0;8,0;6,5;;3,0;;;;;;-1;2023;False;2
RA-104;2022;Aluno-104;M;18,0;2004,0;2022;0;Pública;;A;4,0;8,0;-4,0;True;Severa (3+);6,315;Ágata;7,9;8,7;7,5;;3,7;6,708;2,5;4,8;5,8;0,3;4,0;681;61;11;False;False;-4;2022;False;2
RA-104;2023;Aluno-104;M;19,0;2004,0;2022;1;Pública;;5F;5,0;8,0;-3,0;True;Severa (3+);4,25;Quartzo;0,0;7,7;2,52;5,625;2,6;5,6275;2,5;3,7;1,8;2,3;4,0;;;;;;-3;2022;False;2
RA-1040;2023;Aluno-1040;M;11,0;2011,0;2023;0;Pública;;1F;1,0;2,0;-1,0;True;Moderada (1);7,81545;Ametista;10,0;9,3;7,52;7,8125;6,6;8,06;5,0;5,8;7,3;;3,0;;;;;;-1;2023;False;2
RA-1040;2024;Aluno-1040;M;12,0;2011,0;2023;1;Pública;EE Joaquim Mendes Feliz;2I;2,0;3,0;-1,0;True;Moderada (1);7,764199999900001;Ametista;9,502;8,5416666665;7,51;7,5;8,25;7,273333333;5,0;8,0;8,5;;3,0;;;;;;-1;2023;False;2
RA-1041;2023;Aluno-1041;F;10,0;2013,0;2023;0;Pública;;1F;1,0;2,0;-1,0;True;Moderada (1);6,724116667;Ágata;10,0;7,2;7,52;7,8125;3,3;8,003333333;5,0;1,8;4,7;;3,0;;;;;;-1;2023;False;1
RA-1042;2023;Aluno-1042;M;10,0;2013,0;2023;0;Pública;;1G;1,0;2,0;-1,0;True;Moderada (1);5,331166667;Quartzo;0,0;6,5;3,77;7,708333333;4,3;7,666666667;5,0;4,0;4,5;;3,0;;;;;;-1;2023;False;1
RA-1043;2023;Aluno-1043;M;10,0;2013,0;2023;0;Pública;;1G;1,0;2,0;-1,0;True;Moderada (1);6,5447;Ágata;10,0;7,9;6,27;7,708333333;2,5;7,833333333;5,0;2,0;3,0;;3,0;;;;;;-1;2023;False;2
RA-1043;2024;Aluno-1043;M;11,0;2013,0;2023;1;Pública;EE João Ortiz Rodrigues;1H;1,0;2,0;-1,0;True;Moderada (1);7,539847562500002;Ametista;10,002;7,994071146;7,51;7,291666667;8,25;6,553333333;5,0;8,5;8,0;;3,0;;;;;;-1;2023;False;2
RA-1044;2023;Aluno-1044;F;10,0;2013,0;2023;0;Pública;;1G;1,0;2,0;-1,0;True;Moderada (1);7,629533333;Ametista;8,0;9,7;7,52;7,5;6,1;8,336666667;5,0;4,5;7,7;;3,0;;;;;;-1;2023;False;2
RA-1044;2024;Aluno-1044;F;11,0;2013,0;2023;1;Pública;EE Olivia de Faria Nogueira;2G;2,0;2,0;0,0;False;Adequado;7,966711904800001;Ametista;7,502;9,523809524;7,51;7,1875;7,0;7,21;10,0;7,0;7,0;;4,0;;;;;;0;2023;False;2
RA-1045;2023;Aluno-1045;F;11,0;2012,0;2023;0;Pública;;1H;1,0;2,0;-1,0;True;Moderada (1);8,089033333;Topázio;9,5;9,4;7,52;7,708333333;7,9;8,28;5,0;6,8;9,0;;3,0;;;;;;-1;2023;False;1
RA-1046;2023;Aluno-1046;M;9,0;2014,0;2023;0;Pública;;1H;1,0;1,0;0,0;False;Adequado;6,835833333;Ágata;0,0;8,5;3,77;8,541666667;6,3;8,223333333;10,0;6,3;6,3;;3,0;;;;;;0;2023;False;1
RA-1047;2023;Aluno-1047;M;9,0;2014,0;2023;0;Pública;;1H;1,0;1,0;0,0;False;Adequado;7,848366667;Ametista;10,0;8,5;3,77;8,125;6,9;7,893333333;10,0;5,8;8,0;;3,0;;;;;;0;2023;False;1
RA-1048;2023;Aluno-1048;F;10,0;2013,0;2023;0;Privada;;1H;1,0;2,0;-1,0;True;Moderada (1);7,811366667;Ametista;8,5;9,5;3,77;8,541666667;8,2;8,5;5,0;7,5;8,8;;3,0;;;;;;-1;2023;False;2
RA-1048;2024;Aluno-1048;F;11,0;2013,0;2023;1;Privada;Estuda em outra cidade;2A;2,0;1,0;1,0;False;Adiantado;7,5198666666;Ametista;8,502;6,833333333500001;6,255;7,708333333;6,25;8,283333333;10,0;6,5;6,0;;3,0;;;;;;1;2023;False;2
